Name: 广州综合, URL: http://tencentplaygzrb01.gztv.com/live/zonghes.m3u8, From: subscribe, IPv_Type: ipv4, Location: 中国-江苏-南京, ISP: 腾讯云, Date: None, Delay: 2095 ms, Speed: 0.50 M/s, Resolution: 1280x720
Name: 广州综合, URL: http://tencentplaygzrb01.gztv.com/live/zonghes.m3u8, From: subscribe, IPv_Type: ipv4, Location: 中国-江苏-南京, ISP: 腾讯云, Date: None, Delay: 2095 ms, Speed: 0.50 M/s, Resolution: 1280x720
Name: 广州综合, URL: https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=9e5008d4b91944fa76a957a93ae54870&txTime=1903e5f1cfd, From: subscribe, IPv_Type: ipv4, Location: 中国-广东-广州, ISP: 腾讯云, Date: None, Delay: 2991 ms, Speed: 0.43 M/s, Resolution: 1280x720
Name: 广州综合, URL: https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=9e5008d4b91944fa76a957a93ae54870&txTime=1903e5f1cfd, From: subscribe, IPv_Type: ipv4, Location: 中国-广东-广州, ISP: 腾讯云, Date: None, Delay: 2991 ms, Speed: 0.43 M/s, Resolution: 1280x720
Name: 广州新闻, URL: http://php.jdshipin.com:8880/gztv.php?id=xinwen, From: subscribe, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: 1698 ms, Speed: 0.33 M/s, Resolution: 1280x720
Name: 广州新闻, URL: http://php.jdshipin.com:8880/gztv.php?id=xinwen, From: subscribe, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: 1698 ms, Speed: 0.33 M/s, Resolution: 1280x720
Name: 广东珠江, URL: http://php.jdshipin.com:8880/chudian.php?id=gdzj, From: None, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: 1698 ms, Speed: 0.33 M/s, Resolution: 1280x720
Name: 广州影视频道, URL: http://tencentplaygzrb01.gztv.com/live/yingshi.m3u8, From: subscribe, IPv_Type: ipv4, Location: 中国-安徽-合肥, ISP: 鹏博士长城宽带, Date: None, Delay: 2095 ms, Speed: 0.50 M/s, Resolution: 1280x720
Name: 广州影视频道, URL: http://php.jdshipin.com:8880/gztv.php, From: subscribe, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: 1698 ms, Speed: 0.33 M/s, Resolution: 1280x720
Name: 广州竞赛频道, URL: http://php.jdshipin.com:8880/gztv.php, From: subscribe, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: 1698 ms, Speed: 0.33 M/s, Resolution: 1280x720
Name: 广东体育, URL: http://php.jdshipin.com:8880/chudian.php?id=gdty, From: None, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: 1698 ms, Speed: 0.33 M/s, Resolution: 1280x720
